time,miners_revenue
1600473600000,11845038.521044407
1600560000000,11705293.4789906
1600646400000,11562857.93049928
1600732800000,11258099.322831644
1600819200000,10955047.486423766
1600905600000,10791537.3065081
1600992000000,10369588.769387588
1601078400000,10437462.28414774
1601164800000,10434834.943277875
1601251200000,10530788.421126738
1601337600000,10413604.057196869
1601424000000,10574937.749545377
1601510400000,10750927.232605409
1601596800000,10677814.0046169
1601683200000,10353622.933633741
1601769600000,10367328.425822048
1601856000000,10416265.150830971
1601942400000,10584715.073377723
1602028800000,10544277.265551541
1602115200000,10502785.115331206
1602201600000,10883986.211028842
1602288000000,10988603.28401966
1602374400000,11027444.952863669
1602460800000,10970875.618873296
1602547200000,11085768.857784795
1602633600000,11488324.717722747
1602720000000,11547100.033584705
1602806400000,11508423.644928383
1602892800000,11619437.748765262
1602979200000,11697584.700191155
1603065600000,11457895.393953871
1603152000000,11209595.430212643
1603238400000,11043645.113191262
1603324800000,11037459.347640099
1603411200000,11290481.147791991
1603497600000,11418738.14902513
1603584000000,11717961.585055817
1603670400000,11920231.6762611
1603756800000,12014383.551676407
1603843200000,11894464.399741696
1603929600000,11877959.56006752
1604016000000,11716990.359288866
1604102400000,11743963.35126268
1604188800000,11682991.819507267
1604275200000,12108626.790968442
1604361600000,12175282.758690197
1604448000000,12883159.477261472
1604534400000,13625249.315331707
1604620800000,14830212.179765189
1604707200000,15695976.62593849
1604793600000,16094686.870705936
1604880000000,16347663.277732799
1604966400000,17678279.153753784
1605052800000,17768767.827490084
1605139200000,17680103.10013127
1605225600000,17238881.83235887
1605312000000,16830710.87227617
1605398400000,16754182.20441879
1605484800000,16827672.406739626
1605571200000,16469747.756069425
1605657600000,16736175.31424831
1605744000000,17475264.49803116
1605830400000,17358600.42665789
1605916800000,18017110.775834914
1606003200000,18739770.495796878
1606089600000,19488861.68130936
1606176000000,19531700.760824896
1606262400000,19440130.608460456
1606348800000,19321473.985437386
1606435200000,19514621.80274433
1606521600000,19135576.470322553
1606608000000,18703402.268862847
1606694400000,18291528.32864193
1606780800000,17816263.863889463
1606867200000,18310537.921531294
1606953600000,18014467.485360947
1607040000000,18503364.20020629
1607126400000,18690250.785838306
1607212800000,18833340.958429478
1607299200000,18718290.729420405
1607385600000,19383889.42665268
1607472000000,19069278.18428407
1607558400000,18911619.90367645
1607644800000,18152559.930322845
1607731200000,17821439.853976365
1607817600000,17502109.75329445
1607904000000,17851214.176731844
1607990400000,17733047.12116958
1608076800000,17682088.149442464
1608163200000,18057650.232672088
1608249600000,18899072.271344434
1608336000000,20365188.092662122
1608422400000,21720530.848752845
1608508800000,22344181.57599112
1608595200000,23027276.199156485
1608681600000,23800225.382746074
1608768000000,24689048.769537784
1608854400000,24462233.948692914
1608940800000,23969470.393187378
1609027200000,23660606.34092418
1609113600000,24161528.809867527
1609200000000,25114402.28415785
1609286400000,25718093.280102428
1609372800000,26840712.44983157
1609459200000,28631136.677052047
1609545600000,29384838.683033966
1609632000000,30554291.825413812
1609718400000,31752683.158529077
1609804800000,33150479.373239975
1609891200000,34163867.85764296
1609977600000,35465027.956119694
1610064000000,37171049.087995216
1610150400000,39069627.4062586
1610236800000,40324573.43102362
1610323200000,41360143.22436338
1610409600000,41066552.265994
1610496000000,41526541.89170565
1610582400000,40739278.35485733
1610668800000,40352400.398855425
1610755200000,40263217.889912546
1610841600000,39896583.25968124
1610928000000,38291678.36587535
1611014400000,38084926.887066275
1611100800000,38071380.531664535
1611187200000,37614721.32985039
1611273600000,35867483.24416512
1611360000000,34457765.30833186
1611446400000,33832760.28040308
1611532800000,33596757.9429752
1611619200000,33152026.824407198
1611705600000,32690590.874991175
1611792000000,32097943.412374306
1611878400000,32347120.721162237
1611964800000,33431346.648275953
1612051200000,33417104.093579303
1612137600000,33863848.10887511
1612224000000,33429408.36747021
1612310400000,33923953.75730019
1612396800000,35207214.71989848
1612483200000,36899763.91027313
1612569600000,37787727.64182938
1612656000000,39458446.885842
1612742400000,40554650.345370054
1612828800000,43208139.92621007
1612915200000,45060263.0746782
1613001600000,46531370.620706
1613088000000,47031072.02708341
1613174400000,48122066.78829725
1613260800000,49351419.91109239
1613347200000,50673410.15379975
1613433600000,51114974.22217004
1613520000000,49857317.00227652
1613606400000,50122513.4853635
1613692800000,51022695.892057896
1613779200000,51870702.08564705
1613865600000,52690531.156493254
1613952000000,53732798.81476499
1614038400000,53896210.6178556
1614124800000,54704065.001094036
1614211200000,55912729.27764989
1614297600000,56500415.20716632
1614384000000,54807703.40142114
1614470400000,53587296.10973991
1614556800000,51124526.66496705
1614643200000,49925708.12199758
1614729600000,50222855.27436839
1614816000000,49565937.596317716
1614902400000,47841623.583120875
1614988800000,48187457.899852574
1615075200000,47982245.50646759
1615161600000,49275833.19604581
1615248000000,50602959.927506804
1615334400000,50934451.178547546
1615420800000,51292323.98478917
1615507200000,52294404.30643128
1615593600000,53749280.053419925
1615680000000,55134859.9725169
1615766400000,57321318.905609146
1615852800000,58159851.97236844
1615939200000,58841115.25161406
1616025600000,58384441.30920209
1616112000000,60048608.93742393
1616198400000,60279659.466416344
1616284800000,60581303.06204938
1616371200000,59911287.01100494
1616457600000,59749474.76700757
1616544000000,60213349.66699166
1616630400000,60563203.074070774
1616716800000,59352831.589199
1616803200000,57629484.890527375
