time,n_transactions_total
1600473600000,568372931.4285715
1600560000000,568695690.2857143
1600646400000,569017769.0
1600732800000,569340520.8571428
1600819200000,569655383.8571428
1600905600000,569966989.7142857
1600992000000,570279862.0
1601078400000,570588127.5714285
1601164800000,570900172.7142857
1601251200000,571209506.8571428
1601337600000,571518934.1428572
1601424000000,571828139.1428572
1601510400000,572142180.2857143
1601596800000,572456408.4285715
1601683200000,572768867.4285715
1601769600000,573076266.2857143
1601856000000,573388391.5714285
1601942400000,573701776.7142857
1602028800000,574014942.4285715
1602115200000,574324106.4285715
1602201600000,574636056.7142857
1602288000000,574951493.0
1602374400000,575270186.1428572
1602460800000,575587214.7142857
1602547200000,575902542.8571428
1602633600000,576220728.0
1602720000000,576540972.7142857
1602806400000,576853297.0
1602892800000,577167286.8571428
1602979200000,577479080.2857143
1603065600000,577787609.7142857
1603152000000,578092578.4285715
1603238400000,578395907.8571428
1603324800000,578699074.2857143
1603411200000,579001562.4285715
1603497600000,579303807.4285715
1603584000000,579605885.4285715
1603670400000,579912574.5714285
1603756800000,580220669.8571428
1603843200000,580521597.7142857
1603929600000,580811182.1428572
1604016000000,581093658.1428572
1604102400000,581367106.5714285
1604188800000,581632875.2857143
1604275200000,581893973.2857143
1604361600000,582160019.1428572
1604448000000,582422123.4285715
1604534400000,582695524.4285715
1604620800000,582977557.5714285
1604707200000,583265717.2857143
1604793600000,583563918.5714285
1604880000000,583861504.7142857
1604966400000,584154434.8571428
1605052800000,584461734.8571428
1605139200000,584764941.4285715
1605225600000,585068366.1428572
1605312000000,585372614.8571428
1605398400000,585671323.7142857
1605484800000,585970440.7142857
1605571200000,586270872.7142857
1605657600000,586569342.5714285
1605744000000,586874167.7142857
1605830400000,587184673.0
1605916800000,587493191.1428572
1606003200000,587808365.7142857
1606089600000,588128908.8571428
1606176000000,588452211.8571428
1606262400000,588773479.8571428
1606348800000,589092592.2857143
1606435200000,589411614.4285715
1606521600000,589732666.7142857
1606608000000,590050204.1428572
1606694400000,590365183.4285715
1606780800000,590678776.4285715
1606867200000,590986622.2857143
1606953600000,591301135.4285715
1607040000000,591610710.1428572
1607126400000,591923314.1428572
1607212800000,592235354.7142857
1607299200000,592545911.0
1607385600000,592855784.4285715
1607472000000,593171943.8571428
1607558400000,593481309.7142857
1607644800000,593789707.5714285
1607731200000,594093436.8571428
1607817600000,594395371.4285715
1607904000000,594699099.1428572
1607990400000,595005339.5714285
1608076800000,595313320.0
1608163200000,595619895.4285715
1608249600000,595925724.8571428
1608336000000,596230966.8571428
1608422400000,596546201.8571428
1608508800000,596868194.7142857
1608595200000,597191146.4285715
1608681600000,597507854.5714285
1608768000000,597824807.5714285
1608854400000,598145325.5714285
1608940800000,598460025.5714285
1609027200000,598764431.2857143
1609113600000,599058937.4285715
1609200000000,599357227.1428572
1609286400000,599661297.5714285
1609372800000,599967051.1428572
1609459200000,600272762.2857143
1609545600000,600589088.7142857
1609632000000,600898918.2857143
1609718400000,601212249.7142857
1609804800000,601532787.0
1609891200000,601862223.1428572
1609977600000,602194440.5714285
1610064000000,602535033.1428572
1610150400000,602883987.8571428
1610236800000,603247243.1428572
1610323200000,603613816.2857143
1610409600000,603976432.4285715
1610496000000,604333536.1428572
1610582400000,604688033.8571428
1610668800000,605031172.2857143
1610755200000,605365367.4285715
1610841600000,605697656.7142857
1610928000000,606028075.0
1611014400000,606349891.1428572
1611100800000,606668817.7142857
1611187200000,606986182.2857143
1611273600000,607303009.5714285
1611360000000,607612797.7142857
1611446400000,607920181.2857143
1611532800000,608226847.5714285
1611619200000,608531158.4285715
1611705600000,608834925.0
1611792000000,609140302.7142857
1611878400000,609447020.0
1611964800000,609758705.4285715
1612051200000,610072246.8571428
1612137600000,610386916.1428572
1612224000000,610706759.0
1612310400000,611022579.4285715
1612396800000,611342233.0
1612483200000,611664941.8571428
1612569600000,611993752.1428572
1612656000000,612325359.0
1612742400000,612660048.4285715
1612828800000,612994059.4285715
1612915200000,613335953.4285715
1613001600000,613677251.0
1613088000000,614017940.0
1613174400000,614349487.1428572
1613260800000,614678523.0
1613347200000,615008206.8571428
