iter	Logloss
0	0.691848471
1	0.6907474961
2	0.6899649687
3	0.6891220448
4	0.6889599467
5	0.6881266749
6	0.687839029
7	0.6871922693
8	0.6866477789
9	0.6858782391
10	0.6853918741
11	0.6849255229
12	0.6844435581
13	0.6842524329
14	0.6834557112
15	0.6828166163
16	0.6823950479
17	0.6820646064
18	0.681232683
19	0.680756254
20	0.6803584609
21	0.6796828159
22	0.6795012718
23	0.6791527327
24	0.6786420955
25	0.6781380587
26	0.6775811484
27	0.6773534021
28	0.6768338935
29	0.6764148801
30	0.6761576098
31	0.6758867131
32	0.6755988542
33	0.6750504605
34	0.6747508204
35	0.674363673
36	0.6737338754
37	0.673432674
38	0.6731805846
39	0.6729737748
40	0.6727651197
41	0.6723273699
42	0.6717279479
43	0.6710313664
44	0.6705870163
45	0.6701771581
46	0.670015273
47	0.6698270576
48	0.6695170558
49	0.6690886741
